Project,Package,Class,Method,Smell,Description,File
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.CompositeParser.getParsers; org.apache.tika.detect.CompositeDetector.getDetectors,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java
tika,org.apache.tika.example,TranslatorExampleTest,testMicrosoftTranslateToFrench,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TranslatorExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToHTML,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseBodyToHTML,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseOnePartToHTML,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,TestParsingExample,testNoEmbeddedExample,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,TestParsingExample,testRecursiveParseExample,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,TestParsingExample,testSerializedRecursiveParserWrapperExample,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.parser.pdf,AccessCheckerTest,testLegacy,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/AccessCheckerTest.java
tika,org.apache.tika.parser.pdf,AccessCheckerTest,testNoExtraction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/AccessCheckerTest.java
tika,org.apache.tika.parser.pdf,AccessCheckerTest,testExtractOnlyForAccessibility,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/AccessCheckerTest.java
tika,org.apache.tika.parser.pdf,AccessCheckerTest,testIllogicalExtractNotForAccessibility,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/AccessCheckerTest.java
tika,org.apache.tika.parser.pdf,AccessCheckerTest,testCantAddMultiplesToMetadata,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/AccessCheckerTest.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,testBasic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,testRotated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testPdfParsing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testPdfParsingMetadataOnly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testCustomMetadata,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testProtectedPDF,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 21,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testProtectedPDF,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.metadata.Metadata.names; org.apache.tika.metadata.Metadata.get,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVarious,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 29,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testAnnotations,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
